Feature_name,r_squared
"('Age',)",0.04209562004772138
"('Weight',)",0.41002631932411016
"('HtShoes',)",0.6345658318498824
"('Ht',)",0.6382850276047463
"('Seated 13',)",0.03350897279146392
"('Arm',)",0.34233613553628506
"('Thigh',)",0.349519267043517
"('Leg',)",0.6196342489007702
"('Age', 'Weight')",0.47642412140853085
"('Age', 'HtShoes')",0.654858716163403
"('Age', 'Ht')",0.6561635313811137
"('Age', 'Seated 13')",0.06519886897659055
"('Age', 'Arm')",0.5406213005038994
"('Age', 'Thigh')",0.417237367091039
"('Age', 'Leg')",0.6492198160464198
"('Weight', 'HtShoes')",0.6357627424527291
"('Weight', 'Ht')",0.6397728923760414
"('Weight', 'Seated 13')",0.41550806257854034
"('Weight', 'Arm')",0.4473497828237386
"('Weight', 'Thigh')",0.4850392663068458
"('Weight', 'Leg')",0.621007353299794
"('HtShoes', 'Ht')",0.6384806774733391
"('HtShoes', 'Seated 13')",0.6353069919422121
"('HtShoes', 'Arm')",0.6350109549406668
"('HtShoes', 'Thigh')",0.6349658904378717
"('HtShoes', 'Leg')",0.6576503564000618
"('Ht', 'Seated 13')",0.6387044343200494
"('Ht', 'Arm')",0.6388606996680051
"('Ht', 'Thigh')",0.638320198223378
"('Ht', 'Leg')",0.6594117429189312
"('Seated 13', 'Arm')",0.3525647543688195
"('Seated 13', 'Thigh')",0.3643452810771076
"('Seated 13', 'Leg')",0.6304822957728795
"('Arm', 'Thigh')",0.41405787413022144
"('Arm', 'Leg')",0.6197931772140127
"('Thigh', 'Leg')",0.6306782867487528
"('Age', 'Weight', 'HtShoes')",0.6548666629354072
"('Age', 'Weight', 'Ht')",0.6561654295619249
"('Age', 'Weight', 'Seated 13')",0.47724168218271845
"('Age', 'Weight', 'Arm')",0.5881235099035984
"('Age', 'Weight', 'Thigh')",0.5596801068022359
"('Age', 'Weight', 'Leg')",0.6540981108212248
"('Age', 'HtShoes', 'Ht')",0.6562575561282634
"('Age', 'HtShoes', 'Seated 13')",0.6548958140798977
"('Age', 'HtShoes', 'Arm')",0.6630630945601729
"('Age', 'HtShoes', 'Thigh')",0.6575729414078357
"('Age', 'HtShoes', 'Leg')",0.6812662246139594
"('Age', 'Ht', 'Seated 13')",0.6561643887968731
"('Age', 'Ht', 'Arm')",0.6630657117685174
"('Age', 'Ht', 'Thigh')",0.6576205998082294
"('Age', 'Ht', 'Leg')",0.6814158985074574
"('Age', 'Seated 13', 'Arm')",0.5406224912779447
"('Age', 'Seated 13', 'Thigh')",0.4233369800528699
"('Age', 'Seated 13', 'Leg')",0.6553042275350985
"('Age', 'Arm', 'Thigh')",0.5714015610595826
"('Age', 'Arm', 'Leg')",0.6617725209940786
"('Age', 'Thigh', 'Leg')",0.6670767399333216
"('Weight', 'HtShoes', 'Ht')",0.6399329595141308
"('Weight', 'HtShoes', 'Seated 13')",0.6365367432396152
"('Weight', 'HtShoes', 'Arm')",0.6359698622282963
"('Weight', 'HtShoes', 'Thigh')",0.6360712604261378
"('Weight', 'HtShoes', 'Leg')",0.6607653287871003
"('Weight', 'Ht', 'Seated 13')",0.6402007875002809
"('Weight', 'Ht', 'Arm')",0.6400470477197854
"('Weight', 'Ht', 'Thigh')",0.6397779607603882
"('Weight', 'Ht', 'Leg')",0.6627929826906112
"('Weight', 'Seated 13', 'Arm')",0.45198822807582684
"('Weight', 'Seated 13', 'Thigh')",0.49020778949656707
"('Weight', 'Seated 13', 'Leg')",0.6309504788241764
"('Weight', 'Arm', 'Thigh')",0.49066960800689163
"('Weight', 'Arm', 'Leg')",0.6215397655822683
"('Weight', 'Thigh', 'Leg')",0.6312157608601265
"('HtShoes', 'Ht', 'Seated 13')",0.6388376686620525
"('HtShoes', 'Ht', 'Arm')",0.6390368584865007
"('HtShoes', 'Ht', 'Thigh')",0.6384899027911746
"('HtShoes', 'Ht', 'Leg')",0.6596708679832273
"('HtShoes', 'Seated 13', 'Arm')",0.6357418259236671
"('HtShoes', 'Seated 13', 'Thigh')",0.6357711712134654
"('HtShoes', 'Seated 13', 'Leg')",0.6608924610375753
"('HtShoes', 'Arm', 'Thigh')",0.6357353253123943
"('HtShoes', 'Arm', 'Leg')",0.6615152229275929
"('HtShoes', 'Thigh', 'Leg')",0.658262140491729
"('Ht', 'Seated 13', 'Arm')",0.6392625955069823
"('Ht', 'Seated 13', 'Thigh')",0.6387583130790216
"('Ht', 'Seated 13', 'Leg')",0.6621068702701873
"('Ht', 'Arm', 'Thigh')",0.6390229253562428
"('Ht', 'Arm', 'Leg')",0.6633826007616948
"('Ht', 'Thigh', 'Leg')",0.6596621306202928
"('Seated 13', 'Arm', 'Thigh')",0.42358623915231575
"('Seated 13', 'Arm', 'Leg')",0.6310200433853361
"('Seated 13', 'Thigh', 'Leg')",0.6404461154513789
"('Arm', 'Thigh', 'Leg')",0.6336485217697105
"('Age', 'Weight', 'HtShoes', 'Ht')",0.65625907448414
"('Age', 'Weight', 'HtShoes', 'Seated 13')",0.6549018909405159
"('Age', 'Weight', 'HtShoes', 'Arm')",0.6630653250540707
"('Age', 'Weight', 'HtShoes', 'Thigh')",0.6576732959797107
"('Age', 'Weight', 'HtShoes', 'Leg')",0.6815603912281735
"('Age', 'Weight', 'Ht', 'Seated 13')",0.6561664175727235
"('Age', 'Weight', 'Ht', 'Arm')",0.66307926667347
"('Age', 'Weight', 'Ht', 'Thigh')",0.657648331389145
"('Age', 'Weight', 'Ht', 'Leg')",0.681771622268345
"('Age', 'Weight', 'Seated 13', 'Arm')",0.5882545034957671
"('Age', 'Weight', 'Seated 13', 'Thigh')",0.5602279727324814
"('Age', 'Weight', 'Seated 13', 'Leg')",0.6584854465411809
"('Age', 'Weight', 'Arm', 'Thigh')",0.6089745512076055
"('Age', 'Weight', 'Arm', 'Leg')",0.6641999258875948
"('Age', 'Weight', 'Thigh', 'Leg')",0.6701775751118852
"('Age', 'HtShoes', 'Ht', 'Seated 13')",0.6562612082778763
