Feature_name,r_squared
"('Age',)",0.04209562004772138
"('Weight',)",0.41002631932411016
"('HtShoes16',)",0.041977887624013
"('Ht',)",0.6382850276047463
"('Seated',)",0.5347319454075564
"('Arm',)",0.34233613553628506
"('Thigh',)",0.349519267043517
"('Leg',)",0.6196342489007702
"('Age', 'Weight')",0.47642412140853085
"('Age', 'HtShoes16')",0.0721631364921167
"('Age', 'Ht')",0.6561635313811137
"('Age', 'Seated')",0.5414403636042345
"('Age', 'Arm')",0.5406213005038994
"('Age', 'Thigh')",0.417237367091039
"('Age', 'Leg')",0.6492198160464198
"('Weight', 'HtShoes16')",0.4949262887710586
"('Weight', 'Ht')",0.6397728923760414
"('Weight', 'Seated')",0.5481639279627746
"('Weight', 'Arm')",0.4473497828237386
"('Weight', 'Thigh')",0.4850392663068458
"('Weight', 'Leg')",0.621007353299794
"('HtShoes16', 'Ht')",0.6821891924165193
"('HtShoes16', 'Seated')",0.585089338656966
"('HtShoes16', 'Arm')",0.42164079818328126
"('HtShoes16', 'Thigh')",0.42141323801222086
"('HtShoes16', 'Leg')",0.6408808579753783
"('Ht', 'Seated')",0.6390565590391408
"('Ht', 'Arm')",0.6388606996680051
"('Ht', 'Thigh')",0.638320198223378
"('Ht', 'Leg')",0.6594117429189312
"('Seated', 'Arm')",0.5615948246425002
"('Seated', 'Thigh')",0.5690768227762375
"('Seated', 'Leg')",0.6445461035669562
"('Arm', 'Thigh')",0.41405787413022144
"('Arm', 'Leg')",0.6197931772140127
"('Thigh', 'Leg')",0.6306782867487528
"('Age', 'Weight', 'HtShoes16')",0.5410522382713205
"('Age', 'Weight', 'Ht')",0.6561654295619249
"('Age', 'Weight', 'Seated')",0.5648916895102868
"('Age', 'Weight', 'Arm')",0.5881235099035984
"('Age', 'Weight', 'Thigh')",0.5596801068022359
"('Age', 'Weight', 'Leg')",0.6540981108212248
"('Age', 'HtShoes16', 'Ht')",0.6922434156100936
"('Age', 'HtShoes16', 'Seated')",0.5870192455626785
"('Age', 'HtShoes16', 'Arm')",0.5917408555352828
"('Age', 'HtShoes16', 'Thigh')",0.4701944564751571
"('Age', 'HtShoes16', 'Leg')",0.6634773878239504
"('Age', 'Ht', 'Seated')",0.6598466686708133
"('Age', 'Ht', 'Arm')",0.6630657117685174
"('Age', 'Ht', 'Thigh')",0.6576205998082294
"('Age', 'Ht', 'Leg')",0.6814158985074574
"('Age', 'Seated', 'Arm')",0.613464418989108
"('Age', 'Seated', 'Thigh')",0.5865299748537613
"('Age', 'Seated', 'Leg')",0.6638866267369128
"('Age', 'Arm', 'Thigh')",0.5714015610595826
"('Age', 'Arm', 'Leg')",0.6617725209940786
"('Age', 'Thigh', 'Leg')",0.6670767399333216
"('Weight', 'HtShoes16', 'Ht')",0.6822689184194435
"('Weight', 'HtShoes16', 'Seated')",0.6099400027653634
"('Weight', 'HtShoes16', 'Arm')",0.5382395859006872
"('Weight', 'HtShoes16', 'Thigh')",0.5759301504835602
"('Weight', 'HtShoes16', 'Leg')",0.6482962460059967
"('Weight', 'Ht', 'Seated')",0.6404790576395488
"('Weight', 'Ht', 'Arm')",0.6400470477197854
"('Weight', 'Ht', 'Thigh')",0.6397779607603882
"('Weight', 'Ht', 'Leg')",0.6627929826906112
"('Weight', 'Seated', 'Arm')",0.5641003360111166
"('Weight', 'Seated', 'Thigh')",0.5754716103691961
"('Weight', 'Seated', 'Leg')",0.645191530920878
"('Weight', 'Arm', 'Thigh')",0.49066960800689163
"('Weight', 'Arm', 'Leg')",0.6215397655822683
"('Weight', 'Thigh', 'Leg')",0.6312157608601265
"('HtShoes16', 'Ht', 'Seated')",0.6824409789688007
"('HtShoes16', 'Ht', 'Arm')",0.6824244243450612
"('HtShoes16', 'Ht', 'Thigh')",0.6835811534214022
"('HtShoes16', 'Ht', 'Leg')",0.693541728478504
"('HtShoes16', 'Seated', 'Arm')",0.624177767990056
"('HtShoes16', 'Seated', 'Thigh')",0.6298627148316415
"('HtShoes16', 'Seated', 'Leg')",0.6739906474069939
"('HtShoes16', 'Arm', 'Thigh')",0.4973884160532982
"('HtShoes16', 'Arm', 'Leg')",0.6417554911497004
"('HtShoes16', 'Thigh', 'Leg')",0.6597812700652883
"('Ht', 'Seated', 'Arm')",0.6401983988806521
"('Ht', 'Seated', 'Thigh')",0.6390625719275014
"('Ht', 'Seated', 'Leg')",0.6594202508975154
"('Ht', 'Arm', 'Thigh')",0.6390229253562428
"('Ht', 'Arm', 'Leg')",0.6633826007616948
"('Ht', 'Thigh', 'Leg')",0.6596621306202928
"('Seated', 'Arm', 'Thigh')",0.5766441003051961
"('Seated', 'Arm', 'Leg')",0.6448713220399602
"('Seated', 'Thigh', 'Leg')",0.6506318938483668
"('Arm', 'Thigh', 'Leg')",0.6336485217697105
"('Age', 'Weight', 'HtShoes16', 'Ht')",0.6934837799117142
"('Age', 'Weight', 'HtShoes16', 'Seated')",0.6199239773452763
"('Age', 'Weight', 'HtShoes16', 'Arm')",0.6497575726419074
"('Age', 'Weight', 'HtShoes16', 'Thigh')",0.6285253003591201
"('Age', 'Weight', 'HtShoes16', 'Leg')",0.6752776697874601
"('Age', 'Weight', 'Ht', 'Seated')",0.6598709373401208
"('Age', 'Weight', 'Ht', 'Arm')",0.66307926667347
"('Age', 'Weight', 'Ht', 'Thigh')",0.657648331389145
"('Age', 'Weight', 'Ht', 'Leg')",0.681771622268345
"('Age', 'Weight', 'Seated', 'Arm')",0.6192518049369902
"('Age', 'Weight', 'Seated', 'Thigh')",0.6025859658220662
"('Age', 'Weight', 'Seated', 'Leg')",0.6642001150186938
"('Age', 'Weight', 'Arm', 'Thigh')",0.6089745512076055
"('Age', 'Weight', 'Arm', 'Leg')",0.6641999258875948
"('Age', 'Weight', 'Thigh', 'Leg')",0.6701775751118852
"('Age', 'HtShoes16', 'Ht', 'Seated')",0.694000820656169
"('Age', 'HtShoes16', 'Ht', 'Arm')",0.7029529525018379
